Year,Kyn,Atvinnugrein,Value
2013,Kona,Sérfræðingar (2),2570
2014,Kona,Sérfræðingar (2),2810
2015,Kona,Sérfræðingar (2),3030
2016,Kona,Sérfræðingar (2),3320
2017,Kona,Sérfræðingar (2),3510
2018,Kona,Sérfræðingar (2),3740
2019,Kona,Sérfræðingar (2),3780
2020,Kona,Sérfræðingar (2),4050
2008,Karl,Tæknar og sérmenntað starfsfólk (3),2430
2009,Karl,Tæknar og sérmenntað starfsfólk (3),2440
2010,Karl,Tæknar og sérmenntað starfsfólk (3),2540
2011,Karl,Tæknar og sérmenntað starfsfólk (3),2770
2012,Karl,Tæknar og sérmenntað starfsfólk (3),2890
2013,Karl,Tæknar og sérmenntað starfsfólk (3),3040
2014,Karl,Tæknar og sérmenntað starfsfólk (3),3230
