Year,Starfsgrein,Value
1987,Iðjuþjálfar,6189.0
1988,Iðjuþjálfar,5477.0
1989,Iðjuþjálfar,4700.0
1990,Iðjuþjálfar,4921.0
1991,Iðjuþjálfar,4995.0
1992,Iðjuþjálfar,4859.0
1993,Iðjuþjálfar,5409.0
1994,Iðjuþjálfar,4525.0
1995,Iðjuþjálfar,4187.0
1996,Iðjuþjálfar,4353.0
1997,Iðjuþjálfar,3448.0
1998,Iðjuþjálfar,3133.0
1999,Iðjuþjálfar,4501.0
2000,Iðjuþjálfar,4048.0
2001,Iðjuþjálfar,3257.0
2002,Iðjuþjálfar,
2003,Iðjuþjálfar,
2004,Iðjuþjálfar,1997.0
2005,Iðjuþjálfar,1922.0
2006,Iðjuþjálfar,1865.0
2007,Iðjuþjálfar,1867.0
2008,Iðjuþjálfar,1736.0
2009,Iðjuþjálfar,1663.0
2010,Iðjuþjálfar,1642.0
2011,Iðjuþjálfar,1500.0
2012,Iðjuþjálfar,1358.0
2013,Iðjuþjálfar,1386.0
2014,Iðjuþjálfar,1306.0
2015,Iðjuþjálfar,1163.0
2016,Iðjuþjálfar,1175.0
2017,Iðjuþjálfar,1142.0
2018,Iðjuþjálfar,1170.0
1981,Lyfjafræðingar,3745.0
1982,Lyfjafræðingar,3624.0
1983,Lyfjafræðingar,3266.0
1984,Lyfjafræðingar,3208.0
1985,Lyfjafræðingar,2883.0
1986,Lyfjafræðingar,2839.0
1987,Lyfjafræðingar,2751.0
1988,Lyfjafræðingar,2153.0
1989,Lyfjafræðingar,2097.0
1990,Lyfjafræðingar,1909.0
1991,Lyfjafræðingar,1869.0
1992,Lyfjafræðingar,1773.0
1993,Lyfjafræðingar,1732.0
1994,Lyfjafræðingar,1517.0
1995,Lyfjafræðingar,1294.0
1996,Lyfjafræðingar,1267.0
1997,Lyfjafræðingar,1211.0
1998,Lyfjafræðingar,1188.0
1999,Lyfjafræðingar,1193.0
2000,Lyfjafræðingar,1232.0
2001,Lyfjafræðingar,1179.0
2002,Lyfjafræðingar,1057.0
2003,Lyfjafræðingar,1041.0
2004,Lyfjafræðingar,1023.0
2005,Lyfjafræðingar,1003.0
2006,Lyfjafræðingar,986.0
2007,Lyfjafræðingar,965.0
2008,Lyfjafræðingar,971.0
2009,Lyfjafræðingar,951.0
2010,Lyfjafræðingar,931.0
2011,Lyfjafræðingar,895.0
2012,Lyfjafræðingar,955.0
2013,Lyfjafræðingar,949.0
2014,Lyfjafræðingar,946.0
2015,Lyfjafræðingar,937.0
2016,Lyfjafræðingar,967.0
2017,Lyfjafræðingar,968.0
2018,Lyfjafræðingar,947.0
1981,Lyfjatæknar,3685.0
1982,Lyfjatæknar,3569.0
1983,Lyfjatæknar,3506.0
1984,Lyfjatæknar,3538.0
1985,Lyfjatæknar,2990.0
1986,Lyfjatæknar,2570.0
1987,Lyfjatæknar,2476.0
1988,Lyfjatæknar,3451.0
1989,Lyfjatæknar,2700.0
1990,Lyfjatæknar,2722.0
1991,Lyfjatæknar,2854.0
1992,Lyfjatæknar,2982.0
1993,Lyfjatæknar,2820.0
1994,Lyfjatæknar,2567.0
1995,Lyfjatæknar,2528.0
1996,Lyfjatæknar,
